Date,Region,Confirmed,Deaths,Recovered,Active Cases,Mortality Rate,Recovery Ratio
2020-04-29,India,33062,1079,8437,23546,3.263565422539471,25.518722400338756
2020-04-29,Indonesia,9771,784,1391,7596,8.02374373145021,14.236004503121483
2020-04-29,Iran,93657,5957,73791,13909,6.360442892682874,78.78855824978378
2020-04-29,Iraq,2003,92,1346,565,4.593110334498253,67.1992011982027
2020-04-29,Ireland,20253,1190,13386,5677,5.875672739841011,66.09391201303511
2020-04-29,Israel,15834,215,8233,7386,1.3578375647341165,51.99570544398131
2020-04-29,Italy,203591,27682,71252,104657,13.596868230913941,34.9976177728878
2020-04-29,Ivory Coast,1238,14,557,667,1.1308562197092082,44.99192245557351
2020-04-29,Jamaica,396,7,29,360,1.7676767676767675,7.3232323232323235
2020-04-29,Japan,13895,413,2368,11114,2.972292191435768,17.042101475350847
2020-04-29,Jordan,451,8,356,87,1.7738359201773837,78.93569844789357
2020-04-29,Kazakhstan,3138,25,819,2294,0.7966857871255577,26.099426386233272
2020-04-29,Kenya,384,15,129,240,3.90625,33.59375
2020-04-29,Kosovo,510,12,93,405,2.3529411764705883,18.235294117647058
2020-04-29,Kuwait,3740,24,1389,2327,0.6417112299465241,37.13903743315508
2020-04-29,Kyrgyzstan,729,8,437,284,1.0973936899862824,59.945130315500684
2020-04-29,Laos,19,0,7,12,0.0,36.84210526315789
2020-04-29,Latvia,849,15,348,486,1.76678445229682,40.98939929328622
2020-04-29,Lebanon,721,24,150,547,3.3287101248266295,20.804438280166433
2020-04-29,Liberia,141,16,45,80,11.347517730496454,31.914893617021278
2020-04-29,Libya,61,2,18,41,3.278688524590164,29.508196721311474
2020-04-29,Liechtenstein,82,1,55,26,1.2195121951219512,67.07317073170732
2020-04-29,Lithuania,1375,45,563,767,3.272727272727273,40.945454545454545
2020-04-29,Luxembourg,3769,89,3134,546,2.3613690634120457,83.15202971610506
2020-04-29,Madagascar,128,0,90,38,0.0,70.3125
2020-04-29,Malawi,36,3,7,26,8.333333333333332,19.444444444444446
2020-04-29,Malaysia,5945,100,4087,1758,1.682085786375105,68.74684608915055
2020-04-29,Maldives,278,1,17,260,0.3597122302158274,6.115107913669065
2020-04-29,Mali,482,25,129,328,5.186721991701245,26.763485477178424
2020-04-29,Malta,463,4,339,120,0.8639308855291578,73.2181425485961
2020-04-29,Mauritius,332,10,306,16,3.0120481927710845,92.16867469879519
2020-04-29,Mexico,17799,1732,11423,4644,9.730883757514468,64.17776279566267
2020-04-29,Moldova,3771,111,1114,2546,2.94351630867144,29.541235746486343
2020-04-29,Monaco,95,4,58,33,4.2105263157894735,61.05263157894737
2020-04-29,Mongolia,38,0,10,28,0.0,26.31578947368421
2020-04-29,Montenegro,322,7,203,112,2.1739130434782608,63.04347826086957
2020-04-29,Morocco,4321,168,928,3225,3.8879888914603105,21.476510067114095
2020-04-29,Mozambique,76,0,12,64,0.0,15.789473684210526
2020-04-29,Namibia,16,0,8,8,0.0,50.0
2020-04-29,Nepal,57,0,16,41,0.0,28.07017543859649
2020-04-29,Netherlands,38802,4711,0,34091,12.14112674604402,0.0
2020-04-29,New Zealand,1476,19,1241,216,1.2872628726287263,84.07859078590786
2020-04-29,Nicaragua,13,3,7,3,23.076923076923077,53.84615384615385
2020-04-29,Niger,713,32,435,246,4.488078541374474,61.00981767180925
2020-04-29,Nigeria,1728,51,307,1370,2.951388888888889,17.766203703703702
2020-04-29,North Macedonia,1442,73,627,742,5.062413314840499,43.48127600554785
2020-04-29,Norway,7710,207,32,7471,2.684824902723735,0.4150453955901427
2020-04-29,Oman,2274,10,364,1900,0.43975373790677225,16.00703605980651
2020-04-29,Pakistan,15525,343,3425,11757,2.209339774557166,22.06119162640902
2020-04-29,Panama,6378,178,527,5673,2.7908435246158674,8.262778300407652
2020-04-29,Paraguay,239,9,102,128,3.765690376569038,42.67782426778243
2020-04-29,Peru,33931,943,10037,22951,2.7791694910259053,29.580619492499483
2020-04-29,Philippines,8212,558,1023,6631,6.794934242571846,12.457379444715052
2020-04-29,Poland,12640,624,3025,8991,4.936708860759493,23.931962025316455
2020-04-29,Portugal,24505,973,1470,22062,3.97061824117527,5.99877576004897
2020-04-29,Qatar,12564,10,1243,11311,0.0795924864692773,9.89334606813117
2020-04-29,Romania,11978,693,3569,7716,5.785606946067791,29.796293204207714
2020-04-29,Russia,99399,972,10286,88141,0.9778770410165092,10.348192637752895
2020-04-29,Rwanda,225,0,98,127,0.0,43.55555555555555
2020-04-29,Saint Kitts and Nevis,15,0,4,11,0.0,26.666666666666668
2020-04-29,Saint Lucia,17,0,15,2,0.0,88.23529411764706
2020-04-29,Saint Vincent and the Grenadines,16,0,8,8,0.0,50.0
2020-04-29,San Marino,563,41,69,453,7.282415630550622,12.25577264653641
2020-04-29,Saudi Arabia,21402,157,2953,18292,0.7335763012802542,13.797775908793572
2020-04-29,Senegal,882,9,315,558,1.0204081632653061,35.714285714285715
2020-04-29,Serbia,6630,125,870,5635,1.885369532428356,13.122171945701359
2020-04-29,Seychelles,11,0,6,5,0.0,54.54545454545454
2020-04-29,Sierra Leone,104,4,12,88,3.8461538461538463,11.538461538461538
2020-04-29,Singapore,15641,14,1188,14439,0.08950834345630075,7.59542228757752
2020-04-29,Slovakia,1391,22,484,885,1.5815959741193386,34.79511143062545
